student_id,gender,age,study_hours_per_day,attendance_percentage,previous_score,assignment_score,midterm_score,extracurricular_activity,internet_access,sleep_hours,parental_education,family_income_category,class_participation,final_score,academic_risk
STU2809,Female,22,4.8,68.5,78.8,79.2,75.4,No,Yes,7.8,Master,Low,65.0,79.9,Low Risk
STU1695,Female,19,4.0,82.1,57.4,51.4,58.8,No,Yes,7.2,Master,Low,64.3,62.2,Moderate Risk
STU1907,Male,18,1.9,55.7,,48.5,33.3,No,Yes,8.1,Associate,Low,36.1,44.8,High Risk
STU1545,Male,17,5.1,63.6,76.4,62.1,60.3,Yes,Yes,4.3,High School,Medium,59.8,64.5,Moderate Risk
STU2848,Female,19,1.3,45.0,68.7,44.1,48.8,No,No,9.0,Bachelor,High,41.5,48.7,Moderate Risk
STU2567,Male,19,1.1,58.3,54.8,39.8,41.9,Yes,Yes,5.9,Associate,Medium,31.6,45.6,High Risk
STU2573,Male,18,5.5,74.9,73.8,71.8,69.4,Yes,Yes,6.4,Bachelor,High,64.0,77.4,Low Risk
STU1945,Female,19,1.7,68.6,70.0,37.2,43.3,Yes,Yes,6.0,Master,Medium,50.6,48.0,High Risk
STU1819,Female,22,2.4,50.8,60.2,36.6,42.0,Yes,Yes,8.9,High School,High,51.9,43.6,High Risk
STU1830,Female,21,2.0,58.8,64.4,47.8,47.3,Yes,Yes,8.3,Bachelor,Medium,62.9,67.3,Moderate Risk
STU2531,Female,20,5.1,73.0,67.5,53.8,58.3,No,Yes,6.9,Master,High,65.9,64.5,Moderate Risk
STU1979,Male,18,8.0,84.6,63.1,67.6,75.7,No,Yes,6.9,High School,Medium,86.0,85.2,Low Risk
STU2576,Female,22,3.6,92.8,67.8,48.7,55.2,Yes,Yes,5.7,Bachelor,Low,50.7,73.9,Moderate Risk
STU1786,Male,17,4.8,93.9,73.1,77.6,66.4,No,Yes,6.1,Bachelor,Low,93.7,72.7,Low Risk
STU1071,Male,20,2.6,71.8,75.6,62.6,59.3,Yes,No,6.8,High School,Medium,52.6,75.1,Moderate Risk
STU2007,Male,18,3.5,58.1,63.7,48.6,44.9,No,Yes,5.1,Bachelor,Medium,50.0,52.4,High Risk
STU1189,Male,20,2.3,68.5,55.5,47.0,46.1,No,Yes,7.8,Bachelor,Medium,47.4,45.6,Moderate Risk
STU2670,Male,17,3.1,58.3,69.0,55.7,67.6,Yes,Yes,6.8,Doctorate,Medium,66.3,59.8,Moderate Risk
STU2270,Female,18,2.4,71.0,58.8,44.8,43.3,No,No,6.9,High School,Low,42.0,48.9,Moderate Risk
STU2305,Male,20,3.1,57.1,60.5,59.0,55.6,No,Yes,7.8,Bachelor,Low,62.7,67.3,Moderate Risk
STU2321,Female,22,3.9,75.7,67.4,54.7,52.0,No,Yes,7.1,Bachelor,High,58.4,68.2,Moderate Risk
STU2112,Female,19,3.7,71.7,69.0,42.0,48.1,No,Yes,7.6,Associate,Medium,56.7,55.8,Moderate Risk
STU2941,Female,22,1.9,76.0,80.5,52.7,59.0,Yes,Yes,,High School,Medium,43.9,56.5,Moderate Risk
STU2236,Female,19,3.4,82.4,65.5,45.7,62.7,Yes,Yes,6.4,High School,Low,52.8,72.6,Moderate Risk
STU1600,Female,19,2.2,56.7,65.0,51.8,50.3,Yes,Yes,7.7,Associate,Medium,39.7,47.5,Moderate Risk
STU1057,Female,18,6.9,66.7,65.8,52.2,57.1,,Yes,7.4,Bachelor,Medium,79.2,64.4,Moderate Risk
STU2074,Female,21,2.7,68.2,72.6,62.4,62.1,No,No,6.5,Master,Medium,63.2,68.1,Moderate Risk
STU2264,Female,21,4.3,67.3,70.3,60.6,63.1,No,Yes,7.3,Bachelor,Low,70.6,70.4,Moderate Risk
